trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.989}",20,0,-144.92146663098146,"{0: 10, 1: 1, 2: 7, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.988}",20,0,-71.22691271555757,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.987}",25,0,-150.46863187887888,"{0: 14, 1: 2, 2: 7, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.986}",20,1,-162.71712000324678,"{0: 12, 1: 2, 2: 1, 3: 0, 4: 4}",1
5,False,"{'a': 0.5, 'e': 0.985}",30,0,-187.48911365339566,"{0: 15, 1: 3, 2: 9, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.984}",25,2,-83.86023979171075,"{0: 14, 1: 3, 2: 5, 3: 0, 4: 1}",1
7,False,"{'a': 0.5, 'e': 0.983}",30,0,-130.40977912038298,"{0: 17, 1: 3, 2: 8, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.982}",20,0,-207.69706345445647,"{0: 11, 1: 0, 2: 4, 3: 1, 4: 4}",1
9,False,"{'a': 0.5, 'e': 0.981}",20,0,-250.03266059938284,"{0: 10, 1: 2, 2: 1, 3: 2, 4: 5}",0
10,False,"{'a': 0.5, 'e': 0.98}",20,0,-63.838761764241326,"{0: 12, 1: 4, 2: 3, 3: 1, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.979}",20,0,-208.08090422214843,"{0: 10, 1: 0, 2: 6, 3: 0, 4: 4}",0
12,False,"{'a': 0.5, 'e': 0.978}",20,5,-108.21341749663259,"{0: 6, 1: 2, 2: 5, 3: 1, 4: 1}",1
13,False,"{'a': 0.5, 'e': 0.977}",30,0,-142.5211569926913,"{0: 20, 1: 3, 2: 3, 3: 2, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.976}",20,0,-50.97176213086898,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.975}",20,0,-146.4463742698171,"{0: 10, 1: 2, 2: 5, 3: 1, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.974}",20,0,-88.26393436757675,"{0: 12, 1: 4, 2: 2, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.973}",30,0,-152.36319432291648,"{0: 17, 1: 4, 2: 5, 3: 3, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.972}",20,0,-97.20403454744077,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.971}",20,0,-47.242523971436384,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': 0.97}",25,0,-101.25439555219396,"{0: 18, 1: 3, 2: 1, 3: 1, 4: 2}",0
21,False,"{'a': 0.5, 'e': 0.969}",20,0,-143.14035995917143,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 3}",0
22,False,"{'a': 0.5, 'e': 0.968}",25,0,-162.55937722966456,"{0: 14, 1: 1, 2: 7, 3: 1, 4: 2}",0
23,False,"{'a': 0.5, 'e': 0.967}",25,0,-126.03798427981283,"{0: 16, 1: 3, 2: 3, 3: 1, 4: 2}",0
24,False,"{'a': 0.5, 'e': 0.966}",20,0,-85.25316975603761,"{0: 11, 1: 3, 2: 4, 3: 2, 4: 0}",0
25,False,"{'a': 0.5, 'e': 0.965}",20,0,-69.71161666118786,"{0: 13, 1: 3, 2: 1, 3: 3, 4: 0}",0
26,False,"{'a': 0.5, 'e': 0.964}",20,0,-98.43452303852662,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
27,False,"{'a': 0.5, 'e': 0.963}",20,0,-122.35783358242192,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
28,False,"{'a': 0.5, 'e': 0.962}",20,0,-105.44253852299494,"{0: 12, 1: 0, 2: 6, 3: 1, 4: 1}",0
29,False,"{'a': 0.5, 'e': 0.961}",25,0,-219.22880322793358,"{0: 11, 1: 2, 2: 8, 3: 1, 4: 3}",0
30,False,"{'a': 0.5, 'e': 0.96}",20,0,-108.08676566347545,"{0: 11, 1: 4, 2: 2, 3: 2, 4: 1}",0
31,False,"{'a': 0.5, 'e': 0.959}",25,0,-42.4477415442556,"{0: 18, 1: 2, 2: 4, 3: 1, 4: 0}",0
32,False,"{'a': 0.5, 'e': 0.958}",25,0,-134.0639846421863,"{0: 16, 1: 0, 2: 6, 3: 1, 4: 2}",0
33,False,"{'a': 0.5, 'e': 0.957}",20,0,-178.36179976641677,"{0: 11, 1: 1, 2: 3, 3: 2, 4: 3}",0
34,False,"{'a': 0.5, 'e': 0.956}",25,0,-148.4399009274743,"{0: 15, 1: 1, 2: 6, 3: 1, 4: 2}",0
35,False,"{'a': 0.5, 'e': 0.955}",20,0,-82.1205319223564,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
36,False,"{'a': 0.5, 'e': 0.954}",20,0,-45.5777445241823,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
37,False,"{'a': 0.5, 'e': 0.953}",35,0,-152.40168864449083,"{0: 20, 1: 3, 2: 8, 3: 4, 4: 0}",0
38,False,"{'a': 0.5, 'e': 0.952}",30,0,-105.1352010351744,"{0: 20, 1: 2, 2: 7, 3: 0, 4: 1}",0
39,False,"{'a': 0.5, 'e': 0.951}",20,0,-25.87093868590178,"{0: 14, 1: 4, 2: 2, 3: 0, 4: 0}",0
40,False,"{'a': 0.5, 'e': 0.95}",25,0,-112.52579731935575,"{0: 18, 1: 0, 2: 5, 3: 0, 4: 2}",0
41,False,"{'a': 0.5, 'e': 0.949}",30,0,-161.76524746740887,"{0: 17, 1: 4, 2: 6, 3: 1, 4: 2}",0
42,False,"{'a': 0.5, 'e': 0.948}",20,0,2.8884151290887226,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
43,False,"{'a': 0.5, 'e': 0.947}",25,3,-58.00160551737492,"{0: 16, 1: 1, 2: 3, 3: 2, 4: 0}",1
44,False,"{'a': 0.5, 'e': 0.946}",25,0,-182.36795755763058,"{0: 16, 1: 2, 2: 3, 3: 0, 4: 4}",0
45,False,"{'a': 0.5, 'e': 0.945}",20,0,-99.22820998473172,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
46,False,"{'a': 0.5, 'e': 0.944}",20,0,-110.94945805121581,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
47,False,"{'a': 0.5, 'e': 0.943}",20,0,-131.7877417406693,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
48,False,"{'a': 0.5, 'e': 0.942}",20,0,-46.281491647075704,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
49,False,"{'a': 0.5, 'e': 0.941}",20,0,-101.438513004747,"{0: 14, 1: 3, 2: 0, 3: 1, 4: 2}",0
50,False,"{'a': 0.5, 'e': 0.94}",20,0,-142.02807674428544,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
51,False,"{'a': 0.5, 'e': 0.939}",30,0,-94.45644362885415,"{0: 18, 1: 3, 2: 8, 3: 1, 4: 0}",0
52,False,"{'a': 0.5, 'e': 0.938}",20,13,-25.958911065088202,"{0: 4, 1: 1, 2: 1, 3: 1, 4: 0}",1
53,False,"{'a': 0.5, 'e': 0.9369999999999999}",25,0,-120.21776704901674,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 2}",0
54,False,"{'a': 0.5, 'e': 0.9359999999999999}",25,0,-161.7408078436677,"{0: 13, 1: 2, 2: 7, 3: 1, 4: 2}",0
55,False,"{'a': 0.5, 'e': 0.9349999999999999}",20,0,-79.35363486225633,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
56,False,"{'a': 0.5, 'e': 0.9339999999999999}",20,0,-154.78012583927293,"{0: 12, 1: 0, 2: 5, 3: 0, 4: 3}",0
57,False,"{'a': 0.5, 'e': 0.9329999999999999}",25,0,-195.76091162499276,"{0: 13, 1: 2, 2: 6, 3: 1, 4: 3}",0
58,False,"{'a': 0.5, 'e': 0.9319999999999999}",25,0,-126.92124834258661,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 2}",0
59,False,"{'a': 0.5, 'e': 0.9309999999999999}",20,0,-135.53137116883906,"{0: 12, 1: 2, 2: 2, 3: 2, 4: 2}",0
60,False,"{'a': 0.5, 'e': 0.9299999999999999}",20,0,-30.939827460866482,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
61,False,"{'a': 0.5, 'e': 0.9289999999999999}",20,5,-18.159367849384598,"{0: 11, 1: 1, 2: 3, 3: 0, 4: 0}",1
62,False,"{'a': 0.5, 'e': 0.9279999999999999}",25,0,-114.76317363445924,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",0
63,False,"{'a': 0.5, 'e': 0.9269999999999999}",20,0,-154.07361784299144,"{0: 8, 1: 3, 2: 7, 3: 0, 4: 2}",0
64,False,"{'a': 0.5, 'e': 0.9259999999999999}",20,0,-71.98454508051279,"{0: 11, 1: 3, 2: 5, 3: 1, 4: 0}",0
65,False,"{'a': 0.5, 'e': 0.9249999999999999}",20,0,-79.58142218363865,"{0: 13, 1: 1, 2: 3, 3: 3, 4: 0}",0
66,False,"{'a': 0.5, 'e': 0.9239999999999999}",20,0,-104.2511823383314,"{0: 10, 1: 3, 2: 5, 3: 1, 4: 1}",0
67,False,"{'a': 0.5, 'e': 0.9229999999999999}",30,14,-64.37784123863071,"{0: 10, 1: 2, 2: 3, 3: 0, 4: 1}",1
68,False,"{'a': 0.5, 'e': 0.9219999999999999}",20,0,-89.913482283365,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
69,False,"{'a': 0.5, 'e': 0.9209999999999999}",20,0,-78.95868311880244,"{0: 11, 1: 2, 2: 6, 3: 1, 4: 0}",0
70,False,"{'a': 0.5, 'e': 0.9199999999999999}",25,0,-176.43711427302546,"{0: 13, 1: 0, 2: 9, 3: 1, 4: 2}",0
71,False,"{'a': 0.5, 'e': 0.9189999999999999}",20,0,-16.025231963223607,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
72,False,"{'a': 0.5, 'e': 0.9179999999999999}",25,0,-106.44319497364758,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
73,False,"{'a': 0.5, 'e': 0.9169999999999999}",25,0,-110.58532935797308,"{0: 15, 1: 0, 2: 9, 3: 0, 4: 1}",0
74,False,"{'a': 0.5, 'e': 0.9159999999999999}",20,2,-100.56959640046368,"{0: 10, 1: 3, 2: 2, 3: 2, 4: 1}",1
75,False,"{'a': 0.5, 'e': 0.9149999999999999}",25,0,-51.57642238685801,"{0: 18, 1: 1, 2: 5, 3: 1, 4: 0}",0
