trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.989}",20,3,-74.02612644670305,"{0: 11, 1: 2, 2: 2, 3: 1, 4: 1}",1
2,False,"{'a': 0.5, 'e': 0.988}",25,0,-68.18911531751004,"{0: 19, 1: 2, 2: 2, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.987}",25,0,-191.88437306838574,"{0: 13, 1: 3, 2: 5, 3: 1, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0.986}",20,0,-110.29256721059407,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.985}",30,0,-132.4228149540857,"{0: 20, 1: 1, 2: 5, 3: 3, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.984}",20,0,-67.73668934258144,"{0: 11, 1: 3, 2: 5, 3: 1, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.983}",20,0,-121.98817918357626,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.982}",25,0,-150.8851279617569,"{0: 15, 1: 0, 2: 7, 3: 1, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.981}",25,0,-108.26463786017854,"{0: 15, 1: 2, 2: 7, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.98}",20,0,-53.09106943494655,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.979}",20,0,-41.402216413619975,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.978}",25,0,-178.81750712972686,"{0: 14, 1: 3, 2: 4, 3: 1, 4: 3}",0
13,False,"{'a': 0.5, 'e': 0.977}",20,9,0.4735264079477792,"{0: 8, 1: 3, 2: 0, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.976}",20,0,-29.34852859482856,"{0: 13, 1: 5, 2: 2, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.975}",25,0,-135.7000600414147,"{0: 18, 1: 1, 2: 3, 3: 0, 4: 3}",0
16,False,"{'a': 0.5, 'e': 0.974}",30,0,-82.12393051259698,"{0: 22, 1: 2, 2: 3, 3: 3, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.973}",20,0,-245.7788432284819,"{0: 9, 1: 0, 2: 6, 3: 0, 4: 5}",0
18,False,"{'a': 0.5, 'e': 0.972}",30,0,-147.59206319429032,"{0: 19, 1: 3, 2: 4, 3: 2, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.971}",25,0,-127.74546106435629,"{0: 15, 1: 3, 2: 3, 3: 3, 4: 1}",0
20,False,"{'a': 0.5, 'e': 0.97}",20,0,-59.76100035088717,"{0: 14, 1: 1, 2: 3, 3: 2, 4: 0}",0
21,False,"{'a': 0.5, 'e': 0.969}",20,2,-53.48482566640697,"{0: 14, 1: 1, 2: 1, 3: 1, 4: 1}",1
22,False,"{'a': 0.5, 'e': 0.968}",20,0,-19.838919802522415,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
23,False,"{'a': 0.5, 'e': 0.967}",25,0,-24.490451890608036,"{0: 21, 1: 1, 2: 1, 3: 2, 4: 0}",0
24,False,"{'a': 0.5, 'e': 0.966}",30,0,-144.15983226228252,"{0: 16, 1: 1, 2: 12, 3: 0, 4: 1}",0
25,False,"{'a': 0.5, 'e': 0.965}",25,0,-89.351557412009,"{0: 14, 1: 3, 2: 7, 3: 1, 4: 0}",0
26,False,"{'a': 0.5, 'e': 0.964}",25,0,-52.68313801087825,"{0: 21, 1: 1, 2: 1, 3: 1, 4: 1}",0
27,False,"{'a': 0.5, 'e': 0.963}",30,0,-106.74142915770136,"{0: 16, 1: 5, 2: 8, 3: 1, 4: 0}",0
28,False,"{'a': 0.5, 'e': 0.962}",20,0,-96.41708605798107,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
29,False,"{'a': 0.5, 'e': 0.961}",20,0,-68.57527256631442,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
30,False,"{'a': 0.5, 'e': 0.96}",25,0,-42.57488504745824,"{0: 19, 1: 0, 2: 5, 3: 1, 4: 0}",0
31,False,"{'a': 0.5, 'e': 0.959}",20,0,-129.57129797435869,"{0: 10, 1: 1, 2: 7, 3: 1, 4: 1}",0
32,False,"{'a': 0.5, 'e': 0.958}",20,0,-45.069112045267715,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
33,False,"{'a': 0.5, 'e': 0.957}",25,0,-133.88601125189697,"{0: 13, 1: 3, 2: 7, 3: 1, 4: 1}",0
34,False,"{'a': 0.5, 'e': 0.956}",25,0,-71.46746326714062,"{0: 15, 1: 1, 2: 9, 3: 0, 4: 0}",0
35,False,"{'a': 0.5, 'e': 0.955}",20,0,-41.114637447932466,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
36,False,"{'a': 0.5, 'e': 0.954}",20,6,-42.42376908101034,"{0: 8, 1: 3, 2: 2, 3: 1, 4: 0}",1
37,False,"{'a': 0.5, 'e': 0.953}",25,0,-110.31135213800907,"{0: 16, 1: 1, 2: 6, 3: 1, 4: 1}",0
38,False,"{'a': 0.5, 'e': 0.952}",20,0,-111.38524259344365,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
39,False,"{'a': 0.5, 'e': 0.951}",30,18,-60.63246703616195,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 2}",1
40,False,"{'a': 0.5, 'e': 0.95}",20,2,-183.9577735260793,"{0: 9, 1: 1, 2: 3, 3: 2, 4: 3}",1
41,False,"{'a': 0.5, 'e': 0.949}",25,8,-50.42516926511718,"{0: 13, 1: 0, 2: 3, 3: 0, 4: 1}",1
42,False,"{'a': 0.5, 'e': 0.948}",20,0,-72.30143542327946,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
43,False,"{'a': 0.5, 'e': 0.947}",20,0,-60.09594341502461,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
44,False,"{'a': 0.5, 'e': 0.946}",30,0,-200.53104447212678,"{0: 19, 1: 2, 2: 3, 3: 3, 4: 3}",0
45,False,"{'a': 0.5, 'e': 0.945}",25,0,-97.00027456551622,"{0: 14, 1: 3, 2: 7, 3: 1, 4: 0}",0
46,False,"{'a': 0.5, 'e': 0.944}",20,0,-173.13295938852067,"{0: 9, 1: 1, 2: 6, 3: 2, 4: 2}",0
47,False,"{'a': 0.5, 'e': 0.943}",20,1,-34.98232076603821,"{0: 14, 1: 2, 2: 1, 3: 2, 4: 0}",1
48,False,"{'a': 0.5, 'e': 0.942}",25,0,-121.23062770220783,"{0: 15, 1: 2, 2: 5, 3: 2, 4: 1}",0
49,False,"{'a': 0.5, 'e': 0.941}",35,0,-166.62824977942657,"{0: 22, 1: 3, 2: 6, 3: 2, 4: 2}",0
50,False,"{'a': 0.5, 'e': 0.94}",30,13,-67.88403650018871,"{0: 12, 1: 0, 2: 3, 3: 1, 4: 1}",1
51,False,"{'a': 0.5, 'e': 0.939}",25,0,-97.94546030363368,"{0: 17, 1: 2, 2: 3, 3: 2, 4: 1}",0
52,False,"{'a': 0.5, 'e': 0.938}",25,0,-34.784842325697284,"{0: 18, 1: 5, 2: 1, 3: 1, 4: 0}",0
53,False,"{'a': 0.5, 'e': 0.9369999999999999}",25,0,-113.76480405565287,"{0: 14, 1: 3, 2: 6, 3: 1, 4: 1}",0
54,False,"{'a': 0.5, 'e': 0.9359999999999999}",20,0,-120.3251859974366,"{0: 9, 1: 4, 2: 5, 3: 1, 4: 1}",0
55,False,"{'a': 0.5, 'e': 0.9349999999999999}",20,0,-52.021781664798276,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
56,False,"{'a': 0.5, 'e': 0.9339999999999999}",25,0,-83.6538730018715,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",0
57,False,"{'a': 0.5, 'e': 0.9329999999999999}",20,3,-174.39669130642477,"{0: 9, 1: 0, 2: 3, 3: 2, 4: 3}",1
58,False,"{'a': 0.5, 'e': 0.9319999999999999}",20,0,-100.6475840321731,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
59,False,"{'a': 0.5, 'e': 0.9309999999999999}",20,0,-11.897966351829727,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
60,False,"{'a': 0.5, 'e': 0.9299999999999999}",30,0,-176.82965391603113,"{0: 16, 1: 3, 2: 8, 3: 1, 4: 2}",0
61,False,"{'a': 0.5, 'e': 0.9289999999999999}",30,0,-115.15529873519168,"{0: 21, 1: 3, 2: 2, 3: 3, 4: 1}",0
62,False,"{'a': 0.5, 'e': 0.9279999999999999}",30,0,-205.88614930789132,"{0: 18, 1: 4, 2: 3, 3: 1, 4: 4}",0
63,False,"{'a': 0.5, 'e': 0.9269999999999999}",25,0,-68.72076517445434,"{0: 15, 1: 3, 2: 7, 3: 0, 4: 0}",0
64,False,"{'a': 0.5, 'e': 0.9259999999999999}",25,0,-182.94360066653908,"{0: 12, 1: 3, 2: 6, 3: 2, 4: 2}",0
65,False,"{'a': 0.5, 'e': 0.9249999999999999}",25,0,-175.4704921274164,"{0: 13, 1: 2, 2: 6, 3: 2, 4: 2}",0
66,False,"{'a': 0.5, 'e': 0.9239999999999999}",25,0,-82.06756519032366,"{0: 15, 1: 5, 2: 4, 3: 0, 4: 1}",0
