trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,3,-65.04033830844699,"{0: 14, 1: 0, 2: 8, 3: 0, 4: 0}",1
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-173.03045715148804,"{0: 14, 1: 1, 2: 6, 3: 2, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-55.28846531837454,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-11.443909428741364,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-128.63968371370515,"{0: 12, 1: 3, 2: 9, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",35,0,-186.07322222815583,"{0: 23, 1: 1, 2: 5, 3: 4, 4: 2}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-132.48103236356457,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,16,6.208155747252443,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,False,"{'a': 0.5, 'e': 1.0}",25,1,-105.21582761922042,"{0: 15, 1: 0, 2: 8, 3: 0, 4: 1}",1
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-97.0310282758336,"{0: 14, 1: 2, 2: 8, 3: 1, 4: 0}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-146.9354404084563,"{0: 12, 1: 0, 2: 4, 3: 2, 4: 2}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-32.015227122478926,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-200.63549903208187,"{0: 12, 1: 2, 2: 5, 3: 4, 4: 2}",0
14,False,"{'a': 0.5, 'e': 1.0}",30,0,-175.07410011178368,"{0: 17, 1: 7, 2: 2, 3: 1, 4: 3}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-145.34402064602136,"{0: 15, 1: 1, 2: 6, 3: 1, 4: 2}",0
16,False,"{'a': 0.5, 'e': 1.0}",30,0,-194.64664115602977,"{0: 13, 1: 5, 2: 7, 3: 4, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",30,18,-62.901255959061004,"{0: 8, 1: 1, 2: 1, 3: 1, 4: 1}",1
18,False,"{'a': 0.5, 'e': 1.0}",20,7,-117.49760498289044,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 3}",1
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-131.81467808375416,"{0: 10, 1: 4, 2: 4, 3: 0, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,6,-48.406344920894334,"{0: 7, 1: 2, 2: 5, 3: 0, 4: 0}",1
1,True,"{'a': 0.5, 'e': 1.0}",30,0,-174.25593352632447,"{0: 17, 1: 2, 2: 7, 3: 2, 4: 2}",1
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-112.6343238250008,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,4,-136.22565776531462,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 2}",1
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-152.04953778818572,"{0: 16, 1: 0, 2: 5, 3: 2, 4: 2}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-55.19301348043541,"{0: 17, 1: 2, 2: 5, 3: 1, 4: 0}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-191.8962120704897,"{0: 9, 1: 0, 2: 8, 3: 0, 4: 3}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-113.84973045429072,"{0: 8, 1: 5, 2: 6, 3: 0, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-52.90492999354508,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-142.15971092771258,"{0: 18, 1: 1, 2: 2, 3: 1, 4: 3}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-87.7316404093194,"{0: 10, 1: 4, 2: 4, 3: 2, 4: 0}",0
